iter	Passed	Remaining
0	140	140537
1	145	72544
2	149	49819
3	154	38460
4	158	31473
5	162	26987
6	167	23769
7	172	21425
8	177	19538
9	182	18034
10	187	16860
11	192	15855
12	197	15000
13	202	14266
14	207	13648
15	212	13090
16	217	12594
17	222	12149
18	227	11746
19	232	11393
20	237	11085
21	241	10730
22	246	10464
23	251	10220
24	256	9998
25	261	9792
26	266	9594
27	271	9421
28	276	9249
29	281	9094
30	286	8959
31	291	8817
32	296	8688
33	302	8581
34	307	8466
35	311	8351
36	317	8254
37	322	8166
38	327	8069
39	332	7990
40	337	7901
41	342	7818
42	347	7738
43	352	7668
44	357	7593
45	362	7508
46	367	7446
47	370	7355
48	375	7292
49	380	7235
50	385	7180
51	390	7122
52	395	7067
53	400	7021
54	403	6940
55	408	6890
56	414	6849
57	418	6803
58	423	6756
59	428	6713
60	433	6669
61	438	6627
62	441	6560
63	445	6511
64	450	6473
65	454	6436
66	459	6403
67	465	6377
68	470	6342
69	475	6312
70	480	6283
71	484	6250
72	489	6218
73	494	6184
74	499	6156
75	502	6109
76	507	6087
77	513	6065
78	518	6039
79	523	6017
80	528	5997
81	533	5971
82	538	5949
83	543	5931
84	548	5908
85	553	5886
86	559	5870
87	564	5851
88	569	5828
89	575	5818
90	580	5796
91	585	5776
92	590	5760
93	595	5740
94	600	5717
95	605	5701
96	610	5685
97	615	5667
98	620	5647
99	625	5631
100	630	5612
101	635	5593
102	639	5572
103	644	5553
104	649	5534
105	655	5525
106	659	5508
107	663	5476
108	667	5459
109	672	5442
110	677	5426
111	682	5412
112	688	5402
113	692	5385
114	697	5369
115	703	5358
116	708	5344
117	711	5316
118	716	5303
119	721	5292
120	726	5277
121	731	5263
122	735	5246
123	740	5231
124	745	5217
125	750	5206
126	755	5192
127	760	5178
128	765	5167
129	770	5155
130	775	5142
131	780	5129
132	785	5117
133	789	5104
134	794	5091
135	800	5082
136	804	5070
137	809	5058
138	815	5049
139	820	5038
140	825	5029
141	830	5019
142	835	5006
143	839	4992
144	844	4980
145	849	4970
146	854	4959
147	859	4947
148	864	4939
149	869	4927
150	874	4915
151	879	4906
152	884	4896
153	889	4885
154	894	4878
155	899	4868
156	904	4856
157	909	4846
158	914	4837
159	919	4825
160	923	4814
161	928	4804
162	933	4793
163	938	4782
164	943	4776
165	948	4765
166	953	4754
167	958	4745
168	963	4737
169	968	4727
170	973	4717
171	978	4709
172	983	4700
173	988	4691
174	993	4684
175	998	4675
176	1003	4667
177	1009	4660
178	1013	4650
179	1018	4641
180	1024	4634
181	1029	4625
182	1034	4617
183	1040	4613
184	1045	4604
185	1050	4597
186	1056	4591
187	1061	4582
188	1066	4575
189	1073	4576
190	1078	4569
191	1083	4560
192	1089	4555
193	1094	4546
194	1099	4538
195	1104	4532
196	1109	4523
197	1114	4514
198	1119	4507
199	1124	4499
200	1129	4489
201	1134	4481
202	1139	4473
203	1144	4466
204	1149	4458
205	1155	4452
206	1160	4445
207	1165	4437
208	1170	4431
209	1175	4423
210	1180	4416
211	1186	4410
212	1191	4403
213	1196	4395
214	1202	4390
215	1207	4381
216	1211	4372
217	1217	4367
218	1221	4357
219	1226	4350
220	1233	4346
221	1239	4342
222	1244	4336
223	1249	4329
224	1254	4321
225	1259	4312
226	1264	4305
227	1269	4297
228	1274	4289
229	1279	4281
230	1284	4274
231	1288	4266
232	1294	4260
233	1299	4253
234	1304	4245
235	1309	4239
236	1314	4232
237	1319	4223
238	1323	4215
239	1329	4208
240	1333	4200
241	1338	4191
242	1343	4186
243	1348	4178
244	1353	4170
245	1358	4164
246	1363	4156
247	1368	4149
248	1373	4143
249	1378	4136
250	1383	4129
251	1389	4125
252	1395	4119
253	1399	4111
254	1405	4105
255	1410	4098
256	1414	4090
257	1420	4083
258	1425	4079
259	1428	4066
260	1433	4059
261	1438	4052
262	1443	4045
263	1448	4037
264	1453	4031
265	1458	4024
266	1463	4016
267	1468	4009
268	1473	4003
269	1478	3997
270	1483	3989
271	1488	3983
272	1493	3976
273	1498	3970
274	1503	3963
275	1508	3956
276	1513	3950
277	1518	3943
278	1522	3933
279	1527	3927
280	1532	3920
281	1537	3915
282	1542	3908
283	1547	3901
284	1552	3895
285	1556	3884
286	1561	3878
287	1565	3871
288	1571	3865
289	1574	3854
290	1579	3848
291	1584	3841
292	1589	3834
293	1594	3827
294	1598	3820
295	1603	3814
296	1608	3808
297	1613	3801
298	1618	3795
299	1623	3788
300	1628	3781
301	1633	3775
302	1637	3767
303	1642	3761
304	1647	3755
305	1684	3821
306	1692	3821
307	1701	3822
308	1708	3820
309	1722	3834
310	1742	3860
311	1749	3857
312	1753	3849
313	1758	3842
314	1766	3840
315	1776	3845
316	1784	3845
317	1789	3838
318	1795	3832
319	1799	3824
320	1804	3817
321	1809	3810
322	1814	3804
323	1819	3796
324	1824	3789
325	1829	3783
326	1834	3775
327	1839	3768
328	1844	3761
329	1849	3754
330	1854	3747
331	1858	3740
332	1863	3733
333	1868	3725
334	1873	3718
335	1878	3712
336	1883	3705
337	1888	3698
338	1893	3692
339	1897	3683
340	1902	3676
341	1907	3669
342	1912	3663
343	1917	3656
344	1922	3649
345	1927	3642
346	1932	3635
347	1936	3628
348	1942	3622
349	1947	3615
350	1951	3608
351	1956	3602
352	1961	3595
353	1966	3588
354	1971	3581
355	1976	3574
356	1980	3567
357	1985	3561
358	1991	3555
359	1995	3548
360	2000	3541
361	2006	3535
362	2011	3529
363	2015	3522
364	2020	3515
365	2025	3509
366	2030	3502
367	2035	3495
368	2040	3489
369	2045	3482
370	2049	3475
371	2055	3469
372	2060	3462
373	2064	3456
374	2070	3450
375	2075	3443
376	2080	3437
377	2085	3431
378	2090	3425
379	2095	3418
380	2100	3412
381	2105	3405
382	2109	3399
383	2114	3392
384	2119	3386
385	2124	3379
386	2129	3372
387	2134	3366
388	2139	3360
389	2144	3353
390	2149	3347
391	2154	3341
392	2159	3334
393	2163	3327
394	2168	3321
395	2173	3315
396	2178	3308
397	2183	3302
398	2188	3296
399	2192	3289
400	2197	3283
401	2202	3276
402	2207	3270
403	2212	3264
404	2217	3258
405	2222	3251
406	2227	3245
407	2232	3239
408	2237	3232
409	2241	3226
410	2247	3220
411	2252	3214
412	2256	3207
413	2261	3201
414	2266	3195
415	2271	3188
416	2276	3182
417	2281	3176
418	2285	3169
419	2290	3162
420	2295	3157
421	2300	3150
422	2305	3144
423	2310	3138
424	2315	3132
425	2319	3125
426	2324	3119
427	2329	3113
428	2334	3107
429	2339	3100
430	2344	3095
431	2349	3088
432	2354	3082
433	2359	3076
434	2364	3070
435	2368	3064
436	2373	3058
437	2378	3052
438	2383	3045
439	2388	3040
440	2393	3034
441	2398	3028
442	2403	3021
443	2408	3016
444	2413	3009
445	2418	3003
446	2422	2996
447	2427	2990
448	2432	2984
449	2436	2978
450	2441	2972
