CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
0,Male,0,55,111.88,6153.4,Two year,Mailed check,0
1,Female,1,36,58.7,2113.2,Two year,Electronic check,0
2,Male,0,37,118.86,4397.82,One year,Electronic check,0
3,Male,1,14,96.14,1345.96,Month-to-month,Mailed check,1
4,Male,1,27,28.05,757.35,Two year,Mailed check,0
5,Female,0,31,86.02,2666.62,Month-to-month,Mailed check,1
6,Male,1,44,47.08,2071.52,One year,Bank transfer,0
7,Male,1,68,44.37,3017.16,Two year,Electronic check,0
8,Male,0,48,45.66,2191.68,One year,Electronic check,0
9,Female,0,57,111.61,6361.77,Two year,Credit card,0
10,Male,0,22,70.0,1540.0,Two year,Credit card,0
11,Male,0,4,86.95,347.8,One year,Electronic check,0
12,Male,1,46,48.09,2212.14,One year,Electronic check,0
13,Male,0,59,72.3,4265.7,Month-to-month,Bank transfer,1
14,Female,0,34,55.01,1870.34,One year,Credit card,0
15,Male,0,11,52.11,573.21,One year,Mailed check,0
16,Female,0,31,44.7,1385.7,Month-to-month,Bank transfer,0
17,Female,0,11,60.9,669.9,One year,Credit card,1
18,Female,1,56,86.0,4816.0,Month-to-month,Mailed check,0
19,Male,0,38,42.2,1603.6,Month-to-month,Mailed check,0
20,Female,1,21,116.54,2447.34,One year,Electronic check,1
21,Male,0,10,32.46,324.6,Month-to-month,Electronic check,1
22,Female,0,26,68.02,1768.52,Month-to-month,Mailed check,0
23,Female,0,8,28.5,228.0,Month-to-month,Mailed check,1
24,Female,0,8,22.27,178.16,One year,Electronic check,0
25,Female,0,60,112.27,6736.2,One year,Electronic check,1
26,Female,0,34,101.04,3435.36,Month-to-month,Electronic check,0
27,Female,0,16,89.42,1430.72,One year,Electronic check,0
28,Female,0,13,106.52,1384.76,Two year,Credit card,1
29,Female,1,22,100.28,2206.16,Month-to-month,Electronic check,0
30,Male,0,27,84.72,2287.44,Two year,Bank transfer,0
31,Male,1,64,104.73,6702.72,One year,Bank transfer,0
32,Female,0,2,59.08,118.16,Two year,Bank transfer,0
33,Female,1,26,75.28,1957.28,One year,Electronic check,0
34,Female,0,69,97.63,6736.47,One year,Mailed check,0
35,Male,0,30,28.48,854.4,Month-to-month,Mailed check,1
36,Female,0,8,105.86,846.88,Two year,Credit card,0
37,Male,1,38,35.68,1355.84,Month-to-month,Electronic check,1
38,Male,1,61,106.45,6493.45,Two year,Bank transfer,0
39,Male,1,65,51.13,3323.45,One year,Mailed check,0
